"DATE_TIME" "LONGITUDE" "LATITUDE" "GEOHASH" "MINIMUM_SPEED" "MAXIMUM_SPEED" "AVERAGE_SPEED" "NUMBER_OF_VEHICLES"
"2021-03-02 10:00:00" 28.8226318359375 41.2069702148438 "sxk6rv" 36 137 76 155
"2021-03-01 20:00:00" 28.0755615234375 41.2014770507812 "sx7fqu" 6 131 64 105
"2021-03-04 08:00:00" 28.4600830078125 41.2179565429688 "sxk4rx" 22 117 65 28
"2021-03-01 01:00:00" 28.6138916015625 41.2344360351562 "sxk6e4" 53 125 76 28
"2021-03-03 17:00:00" 29.0203857421875 41.0092163085938 "sxk9k3" 2 68 32 68
"2021-03-04 08:00:00" 29.0203857421875 41.1465454101562 "sxkdh6" 22 73 55 22
"2021-03-04 01:00:00" 28.6798095703125 41.0202026367188 "sxk3ke" 24 132 69 39
"2021-03-02 02:00:00" 28.3831787109375 41.0751342773438 "sxk1tv" 60 114 81 18
"2021-03-01 08:00:00" 29.0533447265625 41.0696411132812 "sxk9th" 31 60 50 16
"2021-03-02 08:00:00" 29.3280029296875 41.0861206054688 "sxkcer" 18 98 64 20
"2021-03-03 04:00:00" 29.2730712890625 41.0202026367188 "sxkc65" 68 143 89 82
"2021-03-01 03:00:00" 29.0203857421875 41.2289428710938 "sxkds3" 63 92 78 34
"2021-03-01 05:00:00" 28.6798095703125 41.0037231445312 "sxk3k8" 19 119 65 188
"2021-03-01 03:00:00" 29.3170166015625 40.9432983398438 "sxkbgj" 47 136 73 80
"2021-03-01 10:00:00" 28.1414794921875 41.0916137695312 "sxk1b2" 77 135 96 22
"2021-03-03 21:00:00" 28.5919189453125 41.2509155273438 "sxk6dt" 56 109 78 15
"2021-03-02 02:00:00" 29.4268798828125 40.9323120117188 "sxkbve" 41 125 75 22
"2021-03-02 02:00:00" 28.8116455078125 41.1740112304688 "sxk6px" 52 108 78 54
"2021-03-03 05:00:00" 28.6358642578125 41.2399291992188 "sxk6ee" 58 164 87 30
"2021-03-02 13:00:00" 28.9654541015625 41.0256958007812 "sxk97h" 2 71 26 175
"2021-03-02 22:00:00" 28.8885498046875 41.0037231445312 "sxk932" 2 134 58 205
"2021-03-03 21:00:00" 29.0533447265625 41.0202026367188 "sxk9m5" 8 122 65 176
